Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
184,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2200,1600,02-Jan-24,
185,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2200,1600,03-Mar-20,
186,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2200,1600,12-Mar-24,
187,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2200,1600,23-Nov-22,
188,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2500,1750,23-Nov-21,
189,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1050,2400,1725,02-Nov-22,
190,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2100,1750,16-Jun-21,
191,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2000,1750,20-Dec-24,
192,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2100,1800,07-Jun-21,
193,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,21-Dec-23,
194,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,28-Feb-24,
195,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,3500,2500,10-Nov-21,
196,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2500,2100,05-Feb-25,
197,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,3000,2500,12-Feb-25,
198,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,3100,2550,13-Feb-25,
199,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,4000,3000,07-Nov-23,
200,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2200,3000,2600,21-Feb-25,
201,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3800,3150,09-Dec-24,
202,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4000,3500,20-Oct-21,
203,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4200,3600,02-Sep-24,
204,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4800,3900,29-Nov-23,
205,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3500,4500,4000,14-Oct-24,
206,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3500,4500,4000,27-Sep-24,
207,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1200,900,09-May-23,
